ID,DOB,Sex,Strain,Date,CA (%),Weight,Daily Change,Total Change,General Digging?,Nest Made?,Lethargy?,Anxious Behaviors?,CA Spot Digging?
R1,8/13/2025,F,BL/6,10/5/2025,0%,22.0,0,0,no,yes,no,no,no
R1,8/13/2025,F,BL/6,10/6/2025,0%,21.8,-0.91,-0.91,no,yes,no,no,no
R1,8/13/2025,F,BL/6,10/7/2025,0%,22.0,0.92,0.0,no,yes,no,no,no
R1,8/13/2025,F,BL/6,10/8/2025,0%,22.1,0.45,0.45,no,yes,no,no,no
R1,8/13/2025,F,BL/6,10/9/2025,0%,22.3,0.9,1.36,no,yes,no,no,no
R1,8/13/2025,F,BL/6,10/10/2025,0%,22.3,0.0,1.36,no,yes,no,no,no
R1,8/13/2025,F,BL/6,10/11/2025,0%,22.1,-0.9,0.45,no,yes,no,no,no
R1,8/13/2025,F,BL/6,10/12/2025,1%,19.6,-11.31,-10.91,yes,no,no,yes,no
R1,8/13/2025,F,BL/6,10/13/2025,1%,19.4,-1.02,-11.82,yes,yes,no,no,no
R1,8/13/2025,F,BL/6,10/14/2025,1%,19.3,-0.52,-12.27,no,yes,no,no,no
R1,8/13/2025,F,BL/6,10/15/2025,1%,19.7,2.07,-10.45,no,yes,no,no,no
R1,8/13/2025,F,BL/6,10/16/2025,1%,19.7,0.0,-10.45,no,yes,no,no,no
R1,8/13/2025,F,BL/6,10/17/2025,1%,19.8,0.51,-10.0,no,yes,no,no,no
R1,8/13/2025,F,BL/6,10/18/2025,1%,20.0,1.01,-9.09,no,yes,no,no,no
R1,8/13/2025,F,BL/6,10/19/2025,2%,19.3,-3.5,-12.27,yes,yes,no,yes,no
R1,8/13/2025,F,BL/6,10/20/2025,2%,19.0,-1.55,-13.64,yes,yes,no,yes,no
R1,8/13/2025,F,BL/6,10/21/2025,2%,19.5,2.63,-11.36,yes,yes,no,no,no
R1,8/13/2025,F,BL/6,10/22/2025,2%,19.6,0.51,-10.91,no,yes,no,no,no
R1,8/13/2025,F,BL/6,10/23/2025,2%,19.5,-0.51,-11.36,no,yes,no,no,no
R1,8/13/2025,F,BL/6,10/24/2025,2%,19.8,1.54,-10.0,no,yes,no,no,no
R1,8/13/2025,F,BL/6,10/25/2025,2%,19.9,0.51,-9.55,no,yes,no,no,no
R1,8/13/2025,F,BL/6,10/26/2025,3%,18.8,-5.53,-14.55,yes,no,no,yes,no
R1,8/13/2025,F,BL/6,10/27/2025,3%,18.9,0.53,-14.09,yes,no,no,yes,no
R1,8/13/2025,F,BL/6,10/28/2025,3%,18.6,-1.59,-15.45,yes,yes,no,yes,no
R1,8/13/2025,F,BL/6,10/29/2025,3%,19.3,3.76,-12.27,yes,yes,no,no,no
R1,8/13/2025,F,BL/6,10/30/2025,3%,19.5,1.04,-11.36,no,yes,no,no,no
R1,8/13/2025,F,BL/6,10/31/2025,3%,19.4,-0.51,-11.82,no,yes,no,no,no
R1,8/13/2025,F,BL/6,11/1/2025,3%,19.3,-0.52,-12.27,no,yes,no,no,no
R1,8/13/2025,F,BL/6,11/2/2025,4%,19.0,-1.55,-13.64,no,yes,no,no,no
R1,8/13/2025,F,BL/6,11/3/2025,4%,18.9,-0.53,-14.09,no,yes,no,no,no
R1,8/13/2025,F,BL/6,11/4/2025,4%,19.1,1.06,-13.18,no,yes,no,no,no
R1,8/13/2025,F,BL/6,11/5/2025,4%,19.2,0.52,-12.73,no,yes,no,no,no
R1,8/13/2025,F,BL/6,11/6/2025,4%,19.1,-0.52,-13.18,no,yes,no,no,no
R1,8/13/2025,F,BL/6,11/7/2025,4%,19.4,1.57,-11.82,no,yes,no,no,no
R1,8/13/2025,F,BL/6,11/8/2025,4%,19.3,-0.52,-12.27,no,yes,no,no,no
R7,8/13/2025,M,BL/6,10/5/2025,0%,24.8,0,0,no,yes,no,no,no
R7,8/13/2025,M,BL/6,10/6/2025,0%,24.9,0.4,0.4,no,yes,no,no,no
R7,8/13/2025,M,BL/6,10/7/2025,0%,24.8,-0.4,0.0,no,yes,no,no,no
R7,8/13/2025,M,BL/6,10/8/2025,0%,25.0,0.81,0.81,no,yes,no,no,no
R7,8/13/2025,M,BL/6,10/9/2025,0%,25.1,0.4,1.21,no,yes,no,no,no
R7,8/13/2025,M,BL/6,10/10/2025,0%,25.0,-0.4,0.81,no,yes,no,no,no
R7,8/13/2025,M,BL/6,10/11/2025,0%,25.2,0.8,1.61,no,yes,no,no,no
R7,8/13/2025,M,BL/6,10/12/2025,1%,24.2,-3.97,-2.42,no,yes,no,no,no
R7,8/13/2025,M,BL/6,10/13/2025,1%,23.8,-1.65,-4.03,no,yes,no,no,no
R7,8/13/2025,M,BL/6,10/14/2025,1%,23.5,-1.26,-5.24,no,yes,no,no,no
R7,8/13/2025,M,BL/6,10/15/2025,1%,23.2,-1.28,-6.45,no,yes,no,no,no
R7,8/13/2025,M,BL/6,10/16/2025,1%,23.4,0.86,-5.65,no,yes,no,no,no
R7,8/13/2025,M,BL/6,10/17/2025,1%,23.3,-0.43,-6.05,no,yes,no,no,no
R7,8/13/2025,M,BL/6,10/18/2025,1%,23.4,0.43,-5.65,no,yes,no,no,no
R7,8/13/2025,M,BL/6,10/19/2025,2%,22.8,-2.56,-8.06,yes,no,yes,no,no
R7,8/13/2025,M,BL/6,10/20/2025,2%,22.6,-0.88,-8.87,yes,no,no,no,yes
R7,8/13/2025,M,BL/6,10/21/2025,2%,22.5,-0.44,-9.27,yes,yes,no,no,no
R7,8/13/2025,M,BL/6,10/22/2025,2%,22.3,-0.89,-10.08,no,yes,no,no,yes
R7,8/13/2025,M,BL/6,10/23/2025,2%,22.4,0.45,-9.68,no,yes,no,no,no
R7,8/13/2025,M,BL/6,10/24/2025,2%,22.5,0.45,-9.27,no,yes,no,no,no
R7,8/13/2025,M,BL/6,10/25/2025,2%,22.4,-0.44,-9.68,no,yes,no,no,no
R7,8/13/2025,M,BL/6,10/26/2025,3%,21.8,-2.68,-12.1,yes,no,yes,no,yes
R7,8/13/2025,M,BL/6,10/27/2025,3%,21.6,-0.92,-12.9,yes,yes,no,no,yes
R7,8/13/2025,M,BL/6,10/28/2025,3%,21.4,-0.93,-13.71,yes,yes,yes,no,yes
R7,8/13/2025,M,BL/6,10/29/2025,3%,21.5,0.47,-13.31,no,yes,yes,no,no 
R7,8/13/2025,M,BL/6,10/30/2025,3%,21.7,0.93,-12.5,no,yes,no,no,no 
R7,8/13/2025,M,BL/6,10/31/2025,3%,21.5,-0.92,-13.31,no,yes,no,no,yes
R7,8/13/2025,M,BL/6,11/1/2025,3%,21.6,0.47,-12.9,no,yes,no,no,no 
R7,8/13/2025,M,BL/6,11/2/2025,4%,21.0,-2.78,-15.32,yes,no,yes,yes,yes
R7,8/13/2025,M,BL/6,11/3/2025,4%,21.2,0.95,-14.52,yes,no,no,yes,yes
R7,8/13/2025,M,BL/6,11/4/2025,4%,21.1,-0.47,-14.92,yes,no,yes,no,no 
R7,8/13/2025,M,BL/6,11/5/2025,4%,21.3,0.95,-14.11,yes,yes,yes,no,no 
R7,8/13/2025,M,BL/6,11/6/2025,4%,21.4,0.47,-13.71,yes,yes,no,no,no 
R7,8/13/2025,M,BL/6,11/7/2025,4%,21.4,0.0,-13.71,yes,yes,no,no,no 
R7,8/13/2025,M,BL/6,11/8/2025,4%,21.6,0.93,-12.9,yes,yes,no,no,no
